DATE,FEDFUNDS,unrate
1990-01-01,8.23,5.4
1990-02-01,8.24,5.3
1990-03-01,8.28,5.2
1990-04-01,8.26,5.4
1990-05-01,8.18,5.4
1990-06-01,8.29,5.2
1990-07-01,8.15,5.5
1990-08-01,8.13,5.7
1990-09-01,8.2,5.9
1990-10-01,8.11,5.9
1990-11-01,7.81,6.2
1990-12-01,7.31,6.3
1991-01-01,6.91,6.4
1991-02-01,6.25,6.6
1991-03-01,6.12,6.8
1991-04-01,5.91,6.7
1991-05-01,5.78,6.9
1991-06-01,5.9,6.9
1991-07-01,5.82,6.8
1991-08-01,5.66,6.9
1991-09-01,5.45,6.9
1991-10-01,5.21,7.0
1991-11-01,4.81,7.0
1991-12-01,4.43,7.3
1992-01-01,4.03,7.3
1992-02-01,4.06,7.4
1992-03-01,3.98,7.4
1992-04-01,3.73,7.4
1992-05-01,3.82,7.6
1992-06-01,3.76,7.8
1992-07-01,3.25,7.7
1992-08-01,3.3,7.6
1992-09-01,3.22,7.6
1992-10-01,3.1,7.3
1992-11-01,3.09,7.4
1992-12-01,2.92,7.4
1993-01-01,3.02,7.3
1993-02-01,3.03,7.1
1993-03-01,3.07,7.0
1993-04-01,2.96,7.1
1993-05-01,3.0,7.1
1993-06-01,3.04,7.0
1993-07-01,3.06,6.9
1993-08-01,3.03,6.8
1993-09-01,3.09,6.7
1993-10-01,2.99,6.8
1993-11-01,3.02,6.6
1993-12-01,2.96,6.5
1994-01-01,3.05,6.6
1994-02-01,3.25,6.6
1994-03-01,3.34,6.5
1994-04-01,3.56,6.4
1994-05-01,4.01,6.1
1994-06-01,4.25,6.1
1994-07-01,4.26,6.1
1994-08-01,4.47,6.0
1994-09-01,4.73,5.9
1994-10-01,4.76,5.8
1994-11-01,5.29,5.6
1994-12-01,5.45,5.5
1995-01-01,5.53,5.6
1995-02-01,5.92,5.4
1995-03-01,5.98,5.4
1995-04-01,6.05,5.8
1995-05-01,6.01,5.6
1995-06-01,6.0,5.6
1995-07-01,5.85,5.7
1995-08-01,5.74,5.7
1995-09-01,5.8,5.6
1995-10-01,5.76,5.5
1995-11-01,5.8,5.6
1995-12-01,5.6,5.6
1996-01-01,5.56,5.6
1996-02-01,5.22,5.5
1996-03-01,5.31,5.5
1996-04-01,5.22,5.6
1996-05-01,5.24,5.6
1996-06-01,5.27,5.3
1996-07-01,5.4,5.5
1996-08-01,5.22,5.1
1996-09-01,5.3,5.2
1996-10-01,5.24,5.2
1996-11-01,5.31,5.4
1996-12-01,5.29,5.4
1997-01-01,5.25,5.3
1997-02-01,5.19,5.2
1997-03-01,5.39,5.2
1997-04-01,5.51,5.1
1997-05-01,5.5,4.9
1997-06-01,5.56,5.0
1997-07-01,5.52,4.9
1997-08-01,5.54,4.8
1997-09-01,5.54,4.9
1997-10-01,5.5,4.7
1997-11-01,5.52,4.6
1997-12-01,5.5,4.7
1998-01-01,5.56,4.6
1998-02-01,5.51,4.6
1998-03-01,5.49,4.7
1998-04-01,5.45,4.3
1998-05-01,5.49,4.4
1998-06-01,5.56,4.5
1998-07-01,5.54,4.5
1998-08-01,5.55,4.5
1998-09-01,5.51,4.6
1998-10-01,5.07,4.5
